,Texas Predict,New York Predict,California Predict,Florida Predict,Illinois Predict,Arizona Predict,Georgia Predict,Massachusetts Predict,New Jersey Predict,Pennsylvania Predict,North Carolina Predict,Louisiana Predict,Maryland Predict,Virginia Predict,Ohio Predict,South Carolina Predict,Alabama Predict,Tennessee Predict,Wyoming Predict,Oklahoma Predict,Arkansas Predict,Maine Predict,Minnesota Predict,Utah Predict,South Dakota Predict,North Dakota Predict,Iowa Predict,Missouri Predict,Wisconsin Predict,Vermont Predict,Mississippi Predict,Colorado Predict,Idaho Predict,Indiana Predict,Nevada Predict,Washington Predict,New Mexico Predict
20,5974.368308670819,-4919.135011732578,22607.735823839903,13964.287471026182,1483.5911570116878,3755.2880530711263,3469.1792679950595,3458.4090462885797,9367.253864184022,634.7137968987226,-5804.852407891303,290.40989466011524,-8151.434070896357,-4240.700043737888,5249.855283182114,4788.28779887408,1432.7168901218101,-5273.509304970503,-130.23841256654123,792.7084225229919,2841.8943693395704,104.58784436195856,990.0189033942297,4156.208451604471,910.2764597628266,419.5724395685829,-379.91923454683274,5253.302893834189,2360.877289902419,-3.8122650494187837,-681.2038773205131,-3028.7466070149094,-434.29881770862266,-645.7292474806309,331.16394843091257,-634.0338150039315,2157.2195109911263
21,6047.317816410214,-4471.356049180031,22699.363064020872,13964.287471026182,1620.052382349968,3756.7661493085325,3532.1048053447157,3548.215958289802,9576.993063092232,758.1183454021811,-5804.852407891303,412.44615567848086,-8092.358883004636,-4181.216354481876,5304.132180754095,4788.28779887408,1458.790706237778,-5273.509304970503,-129.246742289979,792.7084225229919,2841.8943693395704,105.31221596465912,990.0189033942297,4156.208451604471,910.2764597628266,419.59152804338373,-363.87819272931665,5263.7686603702605,2360.877289902419,-3.9121719055401627,-681.2038773205131,-2965.394320199266,-430.3685527702328,-577.2521253675222,331.8773851788137,-545.6572980619967,2161.8803002638742
22,6120.249396190047,-4000.0146254897118,22790.9826207906,13964.287471026182,1759.665086865425,3758.2439254038036,3595.0213787145913,3638.017748016864,9788.384195417166,881.900661624968,-5804.852407891303,534.4843375496566,-8033.284975681454,-4121.733945794404,5358.410358894616,4788.28779887408,1484.8640421405435,-5273.509304970503,-128.2550219912082,792.7084225229919,2841.8943693395704,106.03648752294248,990.0189033942297,4156.208451604471,910.2764597628266,420.08390664705075,-347.8361904853955,5274.234426906332,2360.877289902419,-3.994188318756642,-681.2038773205131,-2901.245519751683,-426.43108463380486,-508.77308240160346,332.590781908948,-457.2807811200619,2166.5406093234196
23,6193.1636882945895,-3528.2839089632034,22882.59449414909,13964.287471026182,1903.4293945878744,3759.7213813569397,3657.9315492417663,3727.8150557540357,10000.364389270544,1005.6957835331559,-5804.852407891303,656.5212388522923,-7974.212348926812,-4062.2547385282815,5412.691738456488,4788.28779887408,1510.9362575458363,-5273.509304970503,-127.26666318485513,792.7084225229919,2841.8943693395704,106.7301654984476,990.0189033942297,4156.208451604471,910.2764597628266,421.0834304103628,-331.7921073175967,5284.700193442404,2360.877289902419,-4.067263262186316,-681.2038773205131,-2835.9352436382324,-422.4086587782949,-440.2927588671446,333.30407859466504,-368.90554474666715,2171.200278098695
24,6266.05877187103,-3056.1741441488266,22974.193561822176,13964.287471026182,2047.2052274271846,3761.199157452211,3720.834996784106,3817.608521785587,10212.377877905965,1129.5101139694452,-5804.852407891303,778.5568595863879,-7915.141643024981,-4002.7768118306994,5466.974398586899,4788.28779887408,1537.0070323115215,-5273.509304970503,-126.28140575543512,792.7084225229919,2841.8943693395704,106.49248997651739,990.0189033942297,4156.208451604471,910.2764597628266,422.08307422697544,-315.74674358125776,5295.165639836341,2360.877289902419,-4.128634259359387,-681.2038773205131,-2768.059668596834,-418.31456110230647,-371.81051447987556,334.0173152537318,-280.5315889418125,2175.8593065897003
25,6338.93592748791,-2579.1162624955177,23065.782384946942,13964.287471026182,2190.9938659518957,3762.676293263212,3783.73044077307,3907.397505827248,10428.261244669557,1253.3391709439456,-5804.852407891303,900.5931206047535,-7856.07221769169,-3943.3008059859276,5521.259619854391,4788.28779887408,1563.0771667929366,-5273.509304970503,-125.30472213256871,792.7084225229919,2841.8943693395704,106.25483446347062,990.0189033942297,4156.208451604471,910.2764597628266,423.0828781146556,-299.69993920531124,5305.631086230278,2360.877289902419,-4.033191885355336,-681.2038773205131,-2697.3665226250887,-414.2206635151524,-303.3263492397964,334.73049188614823,-192.159233847633,2180.517854867503
26,6411.793874576688,-2098.7801253795624,23157.360963523388,13964.287471026182,2334.7940295934677,3764.153429074213,3846.6194819193333,3997.1813675947487,10650.55385697633,1377.1823141723871,-5804.852407891303,1022.6300219073892,-7797.004713211209,-3883.828641846776,5575.546761974692,4788.28779887408,1589.1465009190142,-5273.509304970503,-124.33550182322506,792.7084225229919,2841.8943693395704,106.017208963749,990.0189033942297,4156.208451604471,910.2764597628266,424.0828420734033,-283.6518542608246,5316.09621248208,2360.877289902419,-3.8373474353647907,-681.2038773205131,-2625.789784360677,-410.12696601683274,-234.8402631469071,335.44356847414747,-103.78879960626364,2185.1759229321033
27,6484.6345339901745,-1612.7685084939003,23248.929297551513,13964.287471026182,2478.6069989204407,3765.630564885214,3909.5008396543562,4087.2475947253406,10872.877202928066,1501.0414645075798,-5804.852407891303,1144.6650023572147,-7737.9384892992675,-3824.3564777076244,5629.835184663534,4788.28779887408,1615.2143944054842,-5273.509304970503,-123.3767961821286,792.7084225229919,2841.8943693395704,105.77960347291082,990.0189033942297,4156.208451604471,910.2764597628266,425.0829661032185,-267.6023286767304,5326.561338733882,2360.877289902419,-3.5856231761499657,-681.2038773205131,-2554.2165676597506,-406.0334285895806,-166.3528964854777,336.15656502661295,-15.418685507029295,2189.8333507124335
28,6557.45598487556,-1114.8834601044655,23340.487387031317,13964.287471026182,2622.4289322271943,3767.10738055408,3972.3757945466787,4181.453259661794,11095.232563093305,1624.9159816652536,-5804.852407891303,1266.7012633755803,-7678.874186240137,-3764.886874705553,5684.127449057996,4788.28779887408,1641.2816476076841,-5273.509304970503,-122.4326870215009,792.7084225229919,2841.8943693395704,105.54702021181583,990.0189033942297,4156.208451604471,910.2764597628266,426.0832502041012,-251.55120238196105,5337.0261448435485,2360.877289902419,-3.2920403327807435,-681.2038773205131,-2482.6462322380394,-401.9400912511628,-97.86392911337316,336.86952156131156,72.94982788152993,2194.490298279561
29,6630.258867517114,-606.3338369131088,23432.0352319628,13964.287471026182,2766.264951787889,3768.584196222946,4035.2430660277605,4275.6544426083565,11317.625059746206,1748.8071462139487,-5804.852407891303,1388.7356035411358,-7619.811163749546,-3705.419832840562,5738.4209940209985,4788.28779887408,1667.3474601702765,-5273.509304970503,-121.50324437243398,792.7084225229919,2841.8943693395704,105.33716704230756,990.0189033942297,4156.208451604471,910.2764597628266,427.08365435828455,-235.49895558971912,5347.490950953215,2360.877289902419,-2.9623952286783606,-681.2038773205131,-2411.0803788062185,-397.8468739660457,-29.37304088845849,337.5823980604764,161.31706070154905,2199.1466055624187
